run_dir,run_id,load_level,run_kind,target_lambda,duration_seconds,sample_interval_seconds,sample_count,sent_initial,sent_final,sent_delta,ok_initial,ok_final,ok_delta,err_initial,err_final,err_delta,final_target_lambda,final_inflight,final_last_err,completed_utc
results/v0.7.0/raw/v0.7.0_coll_20260620T105207Z_S2-saturation-probe_lambda-8_9619a2e,v0.7.0_coll_20260620T105207Z_S2-saturation-probe_lambda-8_9619a2e,S2,saturation-probe,8,60,5,10,3868,4371,503,3868,4371,503,0,0,0,0,0,,2026-06-20T10:53:23Z
results/v0.7.0/raw/v0.7.0_coll_20260620T105751Z_S2-saturation-probe_lambda-8_232fcf9,v0.7.0_coll_20260620T105751Z_S2-saturation-probe_lambda-8_232fcf9,S2,saturation-probe,8,60,5,11,4371,4921,550,4371,4921,550,0,0,0,0,0,,2026-06-20T10:59:12Z
results/v0.7.0/raw/v0.7.0_coll_20260620T110017Z_S2-saturation-probe_lambda-8_232fcf9,v0.7.0_coll_20260620T110017Z_S2-saturation-probe_lambda-8_232fcf9,S2,saturation-probe,8,60,5,11,4921,5471,550,4921,5471,550,0,0,0,0,0,,2026-06-20T11:01:38Z
results/v0.7.0/raw/v0.7.0_coll_20260620T110155Z_S2-saturation-probe_lambda-8_232fcf9,v0.7.0_coll_20260620T110155Z_S2-saturation-probe_lambda-8_232fcf9,S2,saturation-probe,8,60,5,11,5471,6020,549,5471,6020,549,0,0,0,0,0,,2026-06-20T11:03:16Z
results/v0.7.0/raw/v0.7.0_coll_20260620T110404Z_S2-saturation-probe_lambda-8_232fcf9,v0.7.0_coll_20260620T110404Z_S2-saturation-probe_lambda-8_232fcf9,S2,saturation-probe,8,60,5,11,6020,6571,551,6020,6571,551,0,0,0,0,0,,2026-06-20T11:05:26Z
results/v0.7.0/raw/v0.7.0_coll_20260620T111710Z_S3-saturation-probe_lambda-16_12db857,v0.7.0_coll_20260620T111710Z_S3-saturation-probe_lambda-16_12db857,S3,saturation-probe,16,60,5,11,6571,7665,1094,6571,7665,1094,0,0,0,0,0,,2026-06-20T11:18:31Z
results/v0.7.0/raw/v0.7.0_coll_20260620T112314Z_S3-saturation-probe_lambda-16_8e84682,v0.7.0_coll_20260620T112314Z_S3-saturation-probe_lambda-16_8e84682,S3,saturation-probe,16,60,5,11,7665,8760,1095,7665,8760,1095,0,0,0,0,0,,2026-06-20T11:24:35Z
results/v0.7.0/raw/v0.7.0_coll_20260620T112504Z_S3-saturation-probe_lambda-16_8e84682,v0.7.0_coll_20260620T112504Z_S3-saturation-probe_lambda-16_8e84682,S3,saturation-probe,16,60,5,10,8760,9762,1002,8760,9762,1002,0,0,0,0,0,,2026-06-20T11:26:20Z
results/v0.7.0/raw/v0.7.0_coll_20260620T112650Z_S3-saturation-probe_lambda-16_8e84682,v0.7.0_coll_20260620T112650Z_S3-saturation-probe_lambda-16_8e84682,S3,saturation-probe,16,60,5,11,9762,10854,1092,9762,10854,1092,0,0,0,0,0,,2026-06-20T11:28:12Z
results/v0.7.0/raw/v0.7.0_coll_20260620T112918Z_S3-saturation-probe_lambda-16_8e84682,v0.7.0_coll_20260620T112918Z_S3-saturation-probe_lambda-16_8e84682,S3,saturation-probe,16,60,5,10,10854,11854,1000,10854,11854,1000,0,0,0,0,0,,2026-06-20T11:30:34Z
